RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Kevin Love,Cle,F-C,32.35,2,23.2,48.3,21.8,12.9,5,0.8,9,0.333,9,0.333,0.417,0.47,9.5,6,14.1,2.5,16.3,0.5,0,1.5,9,97.8,106.5
,Rodney McGruder,Det,G,29.47,2,5.9,12.3,5.2,0,1,1,1,1,0,0,1,1.042,1.5,0.5,4.6,0,0,0,0,0,0,219.4,112.9
,Darius Miller,Okc,F,30.82,2,3.7,7.6,24.1,25,0,0,0,0,3,0.333,0.5,0.5,1.5,0,0,0,0,0,0,0.5,0,,
,Malik Monk,Cha,G,22.95,3,11.3,23.5,13.5,9.3,4,0.5,1,0,7,0.429,0.563,0.564,3.7,1,4.6,2,24.4,0,0,0.33,6.9,124.8,108
,E'Twaun Moore,Pho,G,31.89,2,4.7,9.8,28.9,33.3,0,0,3,0.333,1,0,0.25,0.25,1,0.5,5.9,0,0,0,0,1,0,45.6,95.2
,Rajon Rondo,Atl,G,34.9,2,15.6,32.5,15.9,16.7,0,0,5,0.6,5,0.4,0.6,0.6,6,1,3.3,7,68.1,0.5,0.5,1,8.9,141.5,111.5
,Dennis Smith Jr.,Nyk,G,23.14,2,12,25,19.7,9.3,4,1,5,0.4,3,0,0.25,0.41,4,1,4.4,1.5,17.6,1.5,0,0.5,6.1,94.1,91
,Jalen Smith,Pho,F-C,20,2,10.2,21.1,15.4,14.5,2,0,4,0.5,1,0,0.4,0.34,2,2.5,13.8,0.5,6.7,0,0.5,0.5,5.3,89.9,111.2
,Max Strus,Mia,G-F,24.8,3,21.2,44.1,14.6,0,3,0.333,5,1,15,0.333,0.625,0.61,8.7,2.7,7,1,7.1,0.33,0,0,5.4,123.7,109.1
,Obi Toppin,Nyk,F,20,2,12.3,25.5,21.5,0,0,0,5,0,7,0.429,0.375,0.375,4.5,1.5,6.5,0.5,6.1,0,1,0,4.9,84.7,116.3
,Gabe Vincent,Mia,G,24.59,3,28.7,59.9,27.4,12.9,10,0.8,15,0.467,28,0.357,0.512,0.549,17.3,2,3.8,4.3,24,0.67,0,2.33,7.4,104,103.9
,Jaylen Adams,Mil,G,24.7,1,1,2.1,41.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,Kostas Antetokounmpo,Lal,F,23.15,1,7.7,16,22.1,50,0,0,2,0,0,0,0,0,0,4,27.6,0,0,0,2,2,0,0,86.6
,Tyler Bey,Dal,F,20,1,1.3,2.7,34.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Jarrell Brantley,Uta,F,24.61,1,5.7,11.9,7.5,0,0,0,0,0,1,0,0,0,0,1,9.1,0,0,0,1,0,0,65.3,78.3
,Devon Dotson,Chi,G,20,1,9.5,19.8,17.4,0,0,0,4,0.5,0,0,0.5,0.5,4,1,5.9,0,0,0,0,0,0,98.9,111.8
,Cristiano Felicio,Chi,F-C,28.52,1,6.3,13.1,12.4,0,2,0,1,0,0,0,0,0,0,3,26.6,2,36.4,0,0,0,0,100.2,121.9
,Jalen Harris,Tor,G,20,1,2.3,4.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Willy Hernangomez,Nor,C-F,26.64,1,7.1,14.8,16.7,0,4,0.25,1,0,0,0,0,0.181,1,4,30.9,1,17.4,0,0,0,8.9,59.4,104
,Luke Kornet,Chi,F-C,25.51,1,7.3,15.2,22,25.8,2,1,0,0,2,0,0,0.347,2,1,7.7,0,0,1,0,1,0,57.3,113.5
,Nico Mannion,Gol,G,19.84,1,7.8,16.3,10.7,0,0,0,1,0,1,0,0,0,0,2,13.2,2,31.4,0,0,0,0,54.2,99.6
,Abdel Nader,Pho,F,27.31,1,3.3,6.9,12.1,0,2,1,0,0,0,0,,1.136,2,1,16.9,1,36.5,0,0,0,15.3,,
,Jaylen Nowell,Min,G,21.77,1,7.8,16.3,16.1,0,0,0,2,0.5,1,0,0.333,0.333,2,1,6.8,1,18.1,0,0,0,6.5,101.5,125.3
,Anzejs Pasecniks,Was,C-F,25.07,1,6.3,13.1,39,83.3,0,0,0,0,1,0,0,0,0,1,8.6,1,17.4,0,0,5,0,22.1,90.3
,Kristaps Porzingis,Dal,F-C,25.46,1,21.1,44,33.6,0,0,0,7,0.286,9,0.444,0.5,0.5,16,4,10.3,0,0,0,2,0,0,95.6,94.2
,Deividas Sirvydis,Det,F-G,20.6,1,1,2.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Tony Snell,Atl,G,29.18,1,7,14.6,17.7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5
,Derrick White,San,G,26.54,1,22.9,47.7,22.2,16.8,2,1,5,0.4,4,0.25,0.389,0.455,9,1,2.2,1,5.9,0,2,2,3.6,79.6,113.1
,Dylan Windler,Cle,G-F,24.31,1,9.5,19.8,27.5,16.7,0,0,1,0,4,0.25,0.3,0.3,3,0,0,0,0,2,0,1,0,52.6,104.6
,Cassius Winston,Was,G,20,1,2.2,4.6,18.6,0,0,0,0,0,1,0,0,0,0,0,0,1,49.7,0,0,0,0,,
,Cody Zeller,Cha,F-C,28.28,1,19,39.6,16.7,13.4,1,0,4,0.75,2,0,0.5,0.466,6,3,8.2,0,0,3,1,1,0,81.8,101.3
