RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Marcus Smart,Bos,G,26.86,9,33.4,69.6,17.1,13.2,40,0.775,41,0.341,47,0.362,0.449,0.521,12.2,2.8,4.6,6.4,24.6,1.56,0.67,1.78,7.2,117.2,108.7
,Isaiah Stewart,Det,F-C,20,9,16.9,35.1,12.9,10.9,7,0.571,37,0.459,1,0,0.447,0.463,4.2,5.2,16.6,0.7,5.9,0.33,0.78,0.56,5.9,112,101.5
,Jae'Sean Tate,Hou,F,20,10,24.6,51.3,14.6,14.5,18,0.667,48,0.625,15,0.267,0.571,0.592,8.4,4.2,9.2,2.1,12.4,0.8,0.5,1.2,6.8,116.9,103.8
,Matisse Thybulle,Phi,G-F,23.87,10,13,27.1,11.4,11.4,5,0.6,9,0.444,20,0.25,0.397,0.417,2.6,1,4.1,0.8,7.7,1.1,0.6,0.4,3.9,87.9,100
,Gary Trent Jr.,Por,G-F,21.99,10,24.2,50.3,17.2,4.1,12,0.667,35,0.457,53,0.434,0.574,0.584,10.9,1.5,3.3,1.2,7.4,0.4,0.1,0.4,4.5,116.8,114.4
,P.J. Tucker,Hou,F,35.7,10,31.9,66.5,7.4,24,7,0.714,11,0.455,27,0.556,0.724,0.73,6,4.6,7.8,1.4,5.7,1.2,0.8,1.3,4.2,118,104
,Jarred Vanderbilt,Min,F,21.79,9,14.9,31,13.6,13.8,19,0.474,29,0.655,0,0,0.655,0.629,5.2,5.1,18.2,1.3,12.9,1.11,0.44,0.67,8.7,124.3,102
,Hassan Whiteside,Sac,C,31.59,9,12.6,26.3,23,11.4,24,0.5,44,0.523,0,0,0.523,0.532,6.4,4.2,18.5,0.6,6.7,0.22,1.11,0.78,8,103.9,107.3
,Zion Williamson,Nor,F,20.53,9,31.8,66.2,29.1,12.9,66,0.621,138,0.565,2,0,0.557,0.583,21.9,8.1,14,1.3,7.8,1.33,0.44,2.78,7.7,111.1,102.2
,Bam Adebayo,Mia,C-F,23.5,8,30.4,63.4,22.7,21.2,44,0.795,81,0.642,0,0,0.642,0.693,17.4,9,16.3,5,26.8,1,1,3.38,12.1,120.4,101.2
,LaMarcus Aldridge,San,C-F,35.49,9,29.5,61.5,23.7,8.2,11,0.818,90,0.5,40,0.275,0.473,0.489,14.7,5.3,9.2,2.6,13.2,0.56,0.78,1.33,8,97.9,105.8
,Nickeil Alexander-Walker,Nor,G,22.37,8,17.1,35.6,28.4,11,8,1,44,0.545,33,0.364,0.545,0.571,11.5,2.5,8,1.4,14.7,0.88,0.13,1.25,8,108.1,97.3
,Isaac Bonga,Was,G,21.19,8,11.8,24.6,7.6,17.2,1,0,4,0.75,10,0.6,0.857,0.831,3,2.3,10.3,0.8,7.8,0.25,0.38,0.38,6,139.7,104.1
,Jalen Brunson,Dal,G,24.37,8,19.1,39.7,25.5,15.9,20,0.9,43,0.581,22,0.318,0.546,0.603,11.1,2.5,7.1,3.5,31.4,0.5,0,1.75,9.6,113.7,103.6
,Clint Capela,Atl,C,26.66,8,26.4,55,17.2,11.4,25,0.48,67,0.507,0,0,0.507,0.513,10,12.9,24.8,1.3,7.2,0.63,1,1.25,8.4,111.2,100
,Alex Caruso,Lal,G,26.88,8,17.4,36.2,13.4,25.1,2,0.5,11,0.364,21,0.524,0.641,0.639,5.3,2.6,8,2,14.4,1.13,0.13,1.38,6.9,107.7,99.4
,Gary Clark,Orl,F,26.17,8,19.7,41.1,9.4,22.6,1,1,5,0.4,22,0.227,0.352,0.364,2.5,3.9,10.2,0.6,4,0.5,0.25,1,3.7,78.8,105.3
